TestName,StartTime,TimeStamp,ActionDesc,ActionDuration
B - Revenue Causality dashboard,2011/04/15 06:52:31,2011/04/15 06:54:25,"005 Set time period in dashboard",3328,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:52:31,2011/04/15 06:55:08,"006 Set field 'Target Unit' to value 'Meter'",34267,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:52:31,2011/04/15 06:55:35,"007 Set field 'Target Unit' to value 'Piece'",20095,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:52:31,2011/04/15 06:56:07,"008 Dashboard drill down by 'Territory' 'SE'",24610,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:52:31,2011/04/15 06:56:29,"009 Dashboard drill down by 'Territory' 'BT LV SE'",15047,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:52:31,2011/04/15 06:56:52,"010 Dashboard drill down by 'Territory' 'Sales Office Sweden'",15860,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:52:31,2011/04/15 06:57:11,"011 Dashboard drill down by 'Territory' 'Huvudkontor'",11985,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:52:31,2011/04/15 06:57:48,"012 Dashboard clear drills",10454,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:52:31,2011/04/15 06:57:58,"013 Logout ",3203,"Login"
B - Revenue Causality dashboard,2011/04/15 06:57:58,2011/04/15 06:57:58,"001 Open login page",234,"Other"
B - Revenue Causality dashboard,2011/04/15 06:57:58,2011/04/15 06:58:18,"002 Login as 'pt_managerSW' and wait for dashboard",19016,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:57:58,2011/04/15 06:58:31,"003 Load dashboard 'Revenue Causality'",13797,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:57:58,2011/04/15 06:59:07,"004 Dashboard clear drills",11875,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:57:58,2011/04/15 06:59:47,"005 Set time period in dashboard",3094,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:57:58,2011/04/15 07:00:21,"006 Set field 'Target Unit' to value 'Meter'",26314,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:57:58,2011/04/15 07:00:50,"007 Set field 'Target Unit' to value 'Piece'",21501,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:57:58,2011/04/15 07:01:18,"008 Dashboard drill down by 'Territory' 'SE'",20766,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:57:58,2011/04/15 07:01:38,"009 Dashboard drill down by 'Territory' 'BT LV SE'",13188,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:57:58,2011/04/15 07:01:59,"010 Dashboard drill down by 'Territory' 'Sales Office Sweden'",13594,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:57:58,2011/04/15 07:02:18,"011 Dashboard drill down by 'Territory' 'Huvudkontor'",12126,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:57:58,2011/04/15 07:02:55,"012 Dashboard clear drills",1344,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:57:58,2011/04/15 07:03:05,"013 Logout ",3797,"Login"
B - Revenue Causality dashboard,2011/04/15 07:03:05,2011/04/15 07:03:06,"001 Open login page",344,"Other"
B - Revenue Causality dashboard,2011/04/15 07:03:05,2011/04/15 07:03:26,"002 Login as 'pt_managerSW' and wait for dashboard",20267,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:03:05,2011/04/15 07:03:40,"003 Load dashboard 'Revenue Causality'",13876,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:03:05,2011/04/15 07:04:14,"004 Dashboard clear drills",11297,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:03:05,2011/04/15 07:04:56,"005 Set time period in dashboard",2860,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:03:05,2011/04/15 07:05:38,"006 Set field 'Target Unit' to value 'Meter'",33502,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:03:05,2011/04/15 07:06:07,"007 Set field 'Target Unit' to value 'Piece'",22407,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:03:05,2011/04/15 07:06:41,"008 Dashboard drill down by 'Territory' 'SE'",26079,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:03:05,2011/04/15 07:07:01,"009 Dashboard drill down by 'Territory' 'BT LV SE'",13532,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:03:05,2011/04/15 07:07:24,"010 Dashboard drill down by 'Territory' 'Sales Office Sweden'",15719,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:03:05,2011/04/15 07:07:43,"011 Dashboard drill down by 'Territory' 'Huvudkontor'",12032,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:03:05,2011/04/15 07:08:21,"012 Dashboard clear drills",11125,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:03:05,2011/04/15 07:08:32,"013 Logout ",3922,"Login"
B - Revenue Causality dashboard,2011/04/15 07:08:32,2011/04/15 07:08:33,"001 Open login page",359,"Other"
B - Revenue Causality dashboard,2011/04/15 07:08:32,2011/04/15 07:08:54,"002 Login as 'pt_managerSW' and wait for dashboard",21048,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:08:32,2011/04/15 07:09:07,"003 Load dashboard 'Revenue Causality'",13688,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:08:32,2011/04/15 07:09:51,"004 Dashboard clear drills",15032,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:08:32,2011/04/15 07:10:32,"005 Set time period in dashboard",3406,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:08:32,2011/04/15 07:11:13,"006 Set field 'Target Unit' to value 'Meter'",31455,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:08:32,2011/04/15 07:11:41,"007 Set field 'Target Unit' to value 'Piece'",21001,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:08:32,2011/04/15 07:12:14,"008 Dashboard drill down by 'Territory' 'SE'",25657,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:08:32,2011/04/15 07:12:36,"009 Dashboard drill down by 'Territory' 'BT LV SE'",14516,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:08:32,2011/04/15 07:12:57,"010 Dashboard drill down by 'Territory' 'Sales Office Sweden'",14657,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:08:32,2011/04/15 07:13:20,"011 Dashboard drill down by 'Territory' 'Huvudkontor'",15126,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:08:32,2011/04/15 07:13:56,"012 Dashboard clear drills",12157,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:08:32,2011/04/15 07:14:07,"013 Logout ",3860,"Login"
B - Revenue Causality dashboard,2011/04/15 07:14:07,2011/04/15 07:14:08,"001 Open login page",375,"Other"
B - Revenue Causality dashboard,2011/04/15 07:14:07,2011/04/15 07:14:30,"002 Login as 'pt_managerSW' and wait for dashboard",22392,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:14:07,2011/04/15 07:14:44,"003 Load dashboard 'Revenue Causality'",13626,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:14:07,2011/04/15 07:15:23,"004 Dashboard clear drills",12266,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:14:07,2011/04/15 07:16:07,"005 Set time period in dashboard",3781,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:14:07,2011/04/15 07:17:08,"006 Set field 'Target Unit' to value 'Meter'",52987,"Dashboard"
