TestName,StartTime,TimeStamp,ActionDesc,ActionDuration
D - Summary dashboard,2011/04/15 05:21:52,2011/04/15 05:21:53,"001 Open login page",406,"Other"
D - Summary dashboard,2011/04/15 05:21:52,2011/04/15 05:21:56,"002 Login as 'pt_pricingmanDK' and wait for dashboard",3188,"Dashboard"
D - Summary dashboard,2011/04/15 05:21:52,2011/04/15 05:22:10,"003 Navigate in main menu to 'Track and Analyze'",13938,"FolderNavigation"
D - Summary dashboard,2011/04/15 05:21:52,2011/04/15 05:22:24,"004 Navigate in folders to 'Dashboards,Summary'",13516,"FolderNavigation"
D - Summary dashboard,2011/04/15 05:21:52,2011/04/15 05:22:34,"005 Load dashboard 'Summary'",10641,"Dashboard"
D - Summary dashboard,2011/04/15 05:21:52,2011/04/15 05:23:22,"006 Dashboard clear drills",14016,"Dashboard"
D - Summary dashboard,2011/04/15 05:26:25,2011/04/15 05:26:26,"001 Open login page",375,"Other"
D - Summary dashboard,2011/04/15 05:26:25,2011/04/15 05:26:30,"002 Login as 'pt_pricingmanDK' and wait for dashboard",4188,"Dashboard"
D - Summary dashboard,2011/04/15 05:26:25,2011/04/15 05:26:42,"003 Navigate in main menu to 'Track and Analyze'",12469,"FolderNavigation"
D - Summary dashboard,2011/04/15 05:26:25,2011/04/15 05:26:54,"004 Navigate in folders to 'Dashboards,Summary'",11704,"FolderNavigation"
D - Summary dashboard,2011/04/15 05:26:25,2011/04/15 05:27:04,"005 Load dashboard 'Summary'",9454,"Dashboard"
D - Summary dashboard,2011/04/15 05:26:25,2011/04/15 05:27:57,"006 Dashboard clear drills",10626,"Dashboard"
D - Summary dashboard,2011/04/15 06:46:41,2011/04/15 06:46:42,"001 Open login page",406,"Other"
D - Summary dashboard,2011/04/15 06:46:41,2011/04/15 06:46:44,"002 Login as 'pt_pricingmanDK' and wait for dashboard",1969,"Dashboard"
D - Summary dashboard,2011/04/15 06:46:41,2011/04/15 06:46:55,"003 Navigate in main menu to 'Track and Analyze'",10704,"FolderNavigation"
D - Summary dashboard,2011/04/15 06:46:41,2011/04/15 06:47:05,"004 Navigate in folders to 'Dashboards,Summary'",10485,"FolderNavigation"
D - Summary dashboard,2011/04/15 06:46:41,2011/04/15 06:47:15,"005 Load dashboard 'Summary'",9938,"Dashboard"
D - Summary dashboard,2011/04/15 06:46:41,2011/04/15 06:48:24,"006 Dashboard clear drills",11657,"Dashboard"
D - Summary dashboard,2011/04/15 06:46:41,2011/04/15 06:49:45,"007 Set time period in dashboard",25845,"Dashboard"
D - Summary dashboard,2011/04/15 06:46:41,2011/04/15 06:50:19,"008 Set Top/Bottom Performance Aggregation to: Sold to Customer",27580,"Dashboard"
D - Summary dashboard,2011/04/15 06:46:41,2011/04/15 06:50:52,"009 Set Top/Bottom Performance Aggregation to: Regional Price Group",25345,"Dashboard"
D - Summary dashboard,2011/04/15 06:46:41,2011/04/15 06:51:26,"010 Click link 'Show Bottom Performers'",26939,"Dashboard"
