TestName,StartTime,TimeStamp,ActionDesc,ActionDuration
A - Price Explorer,2011/04/15 04:51:40,2011/04/15 04:51:42,"001 Open login page",2078,"Other"
A - Price Explorer,2011/04/15 04:51:40,2011/04/15 04:51:45,"002 Login as 'pt_regadminNL2'",2328,"Login"
A - Price Explorer,2011/04/15 04:51:40,2011/04/15 04:51:57,"003 Navigate in main menu to 'Track and Analyze'",11891,"FolderNavigation"
A - Price Explorer,2011/04/15 04:51:40,2011/04/15 04:52:02,"004 Navigate in folders to 'Price Explorer'",5156,"FolderNavigation"
A - Price Explorer,2011/04/15 04:51:40,2011/04/15 04:52:09,"005 Set field 'Target Unit' to value 'Package'",344,"Other"
A - Price Explorer,2011/04/15 04:51:40,2011/04/15 04:52:11,"006 Apply changes",1641,"PriceExplorer"
A - Price Explorer,2011/04/15 04:51:40,2011/04/15 04:52:19,"007 Set field 'Target Unit' to value 'Piece'",719,"Other"
A - Price Explorer,2011/04/15 04:51:40,2011/04/15 04:52:19,"008 Set field 'Y Axis' to value 'Percent'",250,"Other"
A - Price Explorer,2011/04/15 04:51:40,2011/04/15 04:52:21,"009 Apply changes",2406,"PriceExplorer"
A - Price Explorer,2011/04/15 04:51:40,2011/04/15 04:52:31,"010 Select graph type 'Scatter'",2391,"PriceExplorer"
A - Price Explorer,2011/04/15 04:51:40,2011/04/15 04:52:37,"011 Filter by time",3344,"PriceExplorer"
A - Price Explorer,2011/04/15 04:51:40,2011/04/15 04:52:49,"012 Clear filters",578,"PriceExplorer"
A - Price Explorer,2011/04/15 04:51:40,2011/04/15 04:52:57,"013 Logout ",1063,"Login"
A - Price Explorer,2011/04/15 04:52:57,2011/04/15 04:52:57,"001 Open login page",344,"Other"
A - Price Explorer,2011/04/15 04:52:57,2011/04/15 04:52:58,"002 Login as 'pt_regadminNL2'",781,"Login"
A - Price Explorer,2011/04/15 04:52:57,2011/04/15 04:53:08,"003 Navigate in main menu to 'Track and Analyze'",9672,"FolderNavigation"
A - Price Explorer,2011/04/15 04:52:57,2011/04/15 04:53:11,"004 Navigate in folders to 'Price Explorer'",3141,"FolderNavigation"
A - Price Explorer,2011/04/15 04:52:57,2011/04/15 04:53:18,"005 Set field 'Target Unit' to value 'Package'",328,"Other"
A - Price Explorer,2011/04/15 04:52:57,2011/04/15 04:53:20,"006 Apply changes",1672,"PriceExplorer"
A - Price Explorer,2011/04/15 04:52:57,2011/04/15 04:53:27,"007 Set field 'Target Unit' to value 'Piece'",422,"Other"
A - Price Explorer,2011/04/15 04:52:57,2011/04/15 04:53:28,"008 Set field 'Y Axis' to value 'Percent'",484,"Other"
A - Price Explorer,2011/04/15 04:52:57,2011/04/15 04:53:30,"009 Apply changes",1953,"PriceExplorer"
A - Price Explorer,2011/04/15 04:52:57,2011/04/15 04:53:39,"010 Select graph type 'Scatter'",2297,"PriceExplorer"
A - Price Explorer,2011/04/15 04:52:57,2011/04/15 04:54:11,"011 Filter by time",4922,"PriceExplorer"
A - Price Explorer,2011/04/15 04:52:57,2011/04/15 04:54:21,"012 Clear filters",266,"PriceExplorer"
A - Price Explorer,2011/04/15 04:52:57,2011/04/15 04:54:29,"013 Logout ",875,"Login"
A - Price Explorer,2011/04/15 04:54:29,2011/04/15 04:54:29,"001 Open login page",484,"Other"
A - Price Explorer,2011/04/15 04:54:29,2011/04/15 04:54:30,"002 Login as 'pt_regadminNL2'",797,"Login"
A - Price Explorer,2011/04/15 04:54:29,2011/04/15 04:54:40,"003 Navigate in main menu to 'Track and Analyze'",9188,"FolderNavigation"
A - Price Explorer,2011/04/15 04:54:29,2011/04/15 04:54:43,"004 Navigate in folders to 'Price Explorer'",3281,"FolderNavigation"
A - Price Explorer,2011/04/15 04:54:29,2011/04/15 04:54:50,"005 Set field 'Target Unit' to value 'Package'",469,"Other"
A - Price Explorer,2011/04/15 04:54:29,2011/04/15 04:54:53,"006 Apply changes",2328,"PriceExplorer"
A - Price Explorer,2011/04/15 05:07:43,2011/04/15 05:07:44,"001 Open login page",469,"Other"
A - Price Explorer,2011/04/15 05:07:43,2011/04/15 05:07:45,"002 Login as 'pt_regadminNL2'",1000,"Login"
A - Price Explorer,2011/04/15 05:07:43,2011/04/15 05:07:57,"003 Navigate in main menu to 'Track and Analyze'",12188,"FolderNavigation"
A - Price Explorer,2011/04/15 05:07:43,2011/04/15 05:08:07,"004 Navigate in folders to 'Price Explorer'",10344,"FolderNavigation"
A - Price Explorer,2011/04/15 05:07:43,2011/04/15 05:08:15,"005 Set field 'Target Unit' to value 'Package'",281,"Other"
A - Price Explorer,2011/04/15 05:07:43,2011/04/15 05:08:17,"006 Apply changes",2063,"PriceExplorer"
A - Price Explorer,2011/04/15 05:07:43,2011/04/15 05:08:24,"007 Set field 'Target Unit' to value 'Piece'",875,"Other"
A - Price Explorer,2011/04/15 05:07:43,2011/04/15 05:08:25,"008 Set field 'Y Axis' to value 'Percent'",281,"Other"
A - Price Explorer,2011/04/15 05:07:43,2011/04/15 05:08:27,"009 Apply changes",2359,"PriceExplorer"
