TestName,StartTime,TimeStamp,ActionDesc,ActionDuration
F - Sales dashboard1,2011/04/15 06:44:57,2011/04/15 06:44:57,"001 Open login page",328,"Other"
F - Sales dashboard1,2011/04/15 06:44:57,2011/04/15 06:45:14,"002 Login as 'pt_salesmanPL' and wait for dashboard",16735,"Dashboard"
F - Sales dashboard1,2011/04/15 06:44:57,2011/04/15 06:45:45,"003 Dashboard clear drills",8438,"Dashboard"
F - Sales dashboard1,2011/04/15 06:44:57,2011/04/15 06:46:59,"004 Set time period in dashboard",32017,"Dashboard"
F - Sales dashboard1,2011/04/15 06:44:57,2011/04/15 06:47:24,"005 Set Top/Bottom Performance Aggregation to: Sold to Customer",17985,"Dashboard"
F - Sales dashboard1,2011/04/15 06:44:57,2011/04/15 06:47:49,"006 Set Top/Bottom Performance Aggregation to: Regional Price Group",17673,"Dashboard"
F - Sales dashboard1,2011/04/15 06:44:57,2011/04/15 06:48:17,"007 Click link 'Show Bottom Performers'",21282,"Dashboard"
F - Sales dashboard1,2011/04/15 06:44:57,2011/04/15 06:48:52,"008 Dashboard drill down by 'Management ' 'I BT'",20907,"Dashboard"
F - Sales dashboard1,2011/04/15 06:44:57,2011/04/15 06:49:20,"009 Dashboard drill down by 'Management ' 'LV'",20439,"Dashboard"
F - Sales dashboard1,2011/04/15 06:44:57,2011/04/15 06:49:44,"010 Dashboard drill down by 'Management ' 'LV GC'",17610,"Dashboard"
F - Sales dashboard1,2011/04/15 06:44:57,2011/04/15 06:50:08,"011 Dashboard drill down by 'Management ' 'P310'",16985,"Dashboard"
F - Sales dashboard1,2011/04/15 06:44:57,2011/04/15 06:50:48,"012 Dashboard clear drills",8407,"Dashboard"
F - Sales dashboard1,2011/04/15 06:44:57,2011/04/15 06:51:02,"013 Expand KPI section: Sold To Customer",1469,"Other"
F - Sales dashboard1,2011/04/15 06:44:57,2011/04/15 06:51:18,"014 Dashboard drill down by 'Sold To Customer' '"ICOPAL" S.A. 0008115124'",16251,"Dashboard"
F - Sales dashboard1,2011/04/15 06:44:57,2011/04/15 06:52:11,"015 Dashboard clear drills",13563,"Dashboard"
F - Sales dashboard1,2011/04/15 06:44:57,2011/04/15 06:52:21,"016 Logout ",3219,"Login"
F - Sales dashboard1,2011/04/15 06:52:21,2011/04/15 06:52:21,"001 Open login page",250,"Other"
F - Sales dashboard1,2011/04/15 06:52:21,2011/04/15 06:52:41,"002 Login as 'pt_salesmanPL' and wait for dashboard",19376,"Dashboard"
F - Sales dashboard1,2011/04/15 06:52:21,2011/04/15 06:53:20,"003 Dashboard clear drills",9813,"Dashboard"
F - Sales dashboard1,2011/04/15 06:52:21,2011/04/15 06:54:56,"004 Set time period in dashboard",40408,"Dashboard"
F - Sales dashboard1,2011/04/15 06:52:21,2011/04/15 06:55:29,"005 Set Top/Bottom Performance Aggregation to: Sold to Customer",26392,"Dashboard"
F - Sales dashboard1,2011/04/15 06:52:21,2011/04/15 06:56:01,"006 Set Top/Bottom Performance Aggregation to: Regional Price Group",24845,"Dashboard"
F - Sales dashboard1,2011/04/15 06:52:21,2011/04/15 06:56:29,"007 Click link 'Show Bottom Performers'",21423,"Dashboard"
F - Sales dashboard1,2011/04/15 06:52:21,2011/04/15 06:56:58,"008 Dashboard drill down by 'Management ' 'I BT'",21923,"Dashboard"
F - Sales dashboard1,2011/04/15 06:52:21,2011/04/15 06:57:28,"009 Dashboard drill down by 'Management ' 'LV'",22486,"Dashboard"
F - Sales dashboard1,2011/04/15 06:52:21,2011/04/15 06:57:56,"010 Dashboard drill down by 'Management ' 'LV GC'",21095,"Dashboard"
