TestName,StartTime,TimeStamp,ActionDesc,ActionDuration
E - Summary dashboard without SalesDistrict,2011/04/15 05:26:53,2011/04/15 05:26:53,"001 Open login page",406,"Other"
E - Summary dashboard without SalesDistrict,2011/04/15 05:26:53,2011/04/15 05:27:14,"002 Login as 'pt_hq1' and wait for dashboard",20657,"Dashboard"
E - Summary dashboard without SalesDistrict,2011/04/15 05:26:53,2011/04/15 05:28:07,"003 Dashboard clear drills",14235,"Dashboard"
E - Summary dashboard without SalesDistrict,2011/04/15 06:49:41,2011/04/15 06:49:42,"001 Open login page",422,"Other"
E - Summary dashboard without SalesDistrict,2011/04/15 06:49:41,2011/04/15 06:50:01,"002 Login as 'pt_hq1' and wait for dashboard",19204,"Dashboard"
E - Summary dashboard without SalesDistrict,2011/04/15 06:49:41,2011/04/15 06:50:52,"003 Dashboard clear drills",11516,"Dashboard"
E - Summary dashboard without SalesDistrict,2011/04/15 06:49:41,2011/04/15 06:54:09,"004 Set time period in dashboard",135555,"Dashboard"
E - Summary dashboard without SalesDistrict,2011/04/15 06:49:41,2011/04/15 06:54:29,"005 Set field 'Target Currency' to value 'GBP'",12876,"Dashboard"
E - Summary dashboard without SalesDistrict,2011/04/15 07:54:50,2011/04/15 07:54:51,"001 Open login page",344,"Other"
E - Summary dashboard without SalesDistrict,2011/04/15 07:54:50,2011/04/15 07:55:13,"002 Login as 'pt_hq1' and wait for dashboard",22189,"Dashboard"
E - Summary dashboard without SalesDistrict,2011/04/15 07:54:50,2011/04/15 07:56:12,"003 Dashboard clear drills",10594,"Dashboard"
E - Summary dashboard without SalesDistrict,2011/04/15 07:54:50,2011/04/15 07:57:37,"004 Set time period in dashboard",15517,"Dashboard"
E - Summary dashboard without SalesDistrict,2011/04/15 07:54:50,2011/04/15 08:00:28,"005 Set field 'Target Currency' to value 'GBP'",163119,"Dashboard"
E - Summary dashboard without SalesDistrict,2011/04/15 07:54:50,2011/04/15 08:03:12,"006 Set field 'Target Currency' to value 'EUR'",156056,"Dashboard"
E - Summary dashboard without SalesDistrict,2011/04/15 07:54:50,2011/04/15 08:03:43,"007 Set field 'Target Unit' to value 'Meter'",22876,"Dashboard"
E - Summary dashboard without SalesDistrict,2011/04/15 07:54:50,2011/04/15 08:04:14,"008 Set field 'Target Unit' to value 'Piece'",24064,"Dashboard"
E - Summary dashboard without SalesDistrict,2011/04/15 07:54:50,2011/04/15 08:06:26,"009 Dashboard drill down by 'External/Internal' 'E'",124117,"Dashboard"
E - Summary dashboard without SalesDistrict,2011/04/15 07:54:50,2011/04/15 08:07:24,"010 Dashboard clear drills",11298,"Dashboard"
E - Summary dashboard without SalesDistrict,2011/04/15 07:54:50,2011/04/15 08:07:34,"011 Logout ",3313,"Login"
E - Summary dashboard without SalesDistrict,2011/04/15 08:07:34,2011/04/15 08:07:34,"001 Open login page",203,"Other"
E - Summary dashboard without SalesDistrict,2011/04/15 08:07:34,2011/04/15 08:07:57,"002 Login as 'pt_hq1' and wait for dashboard",22845,"Dashboard"
