TestName,StartTime,TimeStamp,ActionDesc,ActionDuration
A - Price Explorer,2011/04/15 05:20:53,2011/04/15 05:20:54,"001 Open login page",922,"Other"
A - Price Explorer,2011/04/15 05:20:53,2011/04/15 05:20:56,"002 Login as 'pt_regadminNL2'",1109,"Login"
A - Price Explorer,2011/04/15 05:20:53,2011/04/15 05:21:08,"003 Navigate in main menu to 'Track and Analyze'",12235,"FolderNavigation"
A - Price Explorer,2011/04/15 05:20:53,2011/04/15 05:21:14,"004 Navigate in folders to 'Price Explorer'",6328,"FolderNavigation"
A - Price Explorer,2011/04/15 05:20:53,2011/04/15 05:21:22,"005 Set field 'Target Unit' to value 'Package'",344,"Other"
A - Price Explorer,2011/04/15 05:20:53,2011/04/15 05:21:24,"006 Apply changes",2547,"PriceExplorer"
A - Price Explorer,2011/04/15 05:20:53,2011/04/15 05:21:31,"007 Set field 'Target Unit' to value 'Piece'",281,"Other"
A - Price Explorer,2011/04/15 05:20:53,2011/04/15 05:21:32,"008 Set field 'Y Axis' to value 'Percent'",516,"Other"
A - Price Explorer,2011/04/15 05:20:53,2011/04/15 05:21:36,"009 Apply changes",3844,"PriceExplorer"
A - Price Explorer,2011/04/15 05:20:53,2011/04/15 05:21:46,"010 Select graph type 'Scatter'",3391,"PriceExplorer"
A - Price Explorer,2011/04/15 05:20:53,2011/04/15 05:21:56,"011 Filter by time",3547,"PriceExplorer"
A - Price Explorer,2011/04/15 05:20:53,2011/04/15 05:22:09,"012 Clear filters",281,"PriceExplorer"
A - Price Explorer,2011/04/15 05:20:53,2011/04/15 05:22:18,"013 Logout ",1172,"Login"
A - Price Explorer,2011/04/15 05:22:18,2011/04/15 05:22:18,"001 Open login page",719,"Other"
A - Price Explorer,2011/04/15 05:22:18,2011/04/15 05:22:19,"002 Login as 'pt_regadminNL2'",734,"Login"
A - Price Explorer,2011/04/15 05:22:18,2011/04/15 05:22:33,"003 Navigate in main menu to 'Track and Analyze'",13501,"FolderNavigation"
A - Price Explorer,2011/04/15 05:22:18,2011/04/15 05:22:37,"004 Navigate in folders to 'Price Explorer'",4703,"FolderNavigation"
A - Price Explorer,2011/04/15 05:22:18,2011/04/15 05:22:45,"005 Set field 'Target Unit' to value 'Package'",359,"Other"
A - Price Explorer,2011/04/15 05:22:18,2011/04/15 05:22:47,"006 Apply changes",2703,"PriceExplorer"
A - Price Explorer,2011/04/15 05:22:18,2011/04/15 05:22:55,"007 Set field 'Target Unit' to value 'Piece'",297,"Other"
