TestName,StartTime,TimeStamp,ActionDesc,ActionDuration
G - Sales dashboard without SalesDistrict,2011/04/15 06:50:59,2011/04/15 06:51:00,"001 Open login page",469,"Other"
G - Sales dashboard without SalesDistrict,2011/04/15 06:50:59,2011/04/15 06:51:23,"002 Login as 'pt_marketingNO' and wait for dashboard",22798,"Dashboard"
G - Sales dashboard without SalesDistrict,2011/04/15 06:50:59,2011/04/15 06:51:36,"003 Load dashboard 'Sales'",13266,"Dashboard"
G - Sales dashboard without SalesDistrict,2011/04/15 06:50:59,2011/04/15 06:52:21,"004 Dashboard clear drills",8907,"Dashboard"
G - Sales dashboard without SalesDistrict,2011/04/15 06:50:59,2011/04/15 06:52:50,"005 Set field 'Target Currency' to value 'EUR'",21798,"Dashboard"
G - Sales dashboard without SalesDistrict,2011/04/15 06:50:59,2011/04/15 06:53:18,"006 Set field 'Target Unit' to value 'Meter'",21079,"Dashboard"
G - Sales dashboard without SalesDistrict,2011/04/15 06:50:59,2011/04/15 06:53:48,"007 Set field 'Target Unit' to value 'Piece'",22314,"Dashboard"
G - Sales dashboard without SalesDistrict,2011/04/15 06:50:59,2011/04/15 06:54:44,"008 Set time period in dashboard",3047,"Dashboard"
G - Sales dashboard without SalesDistrict,2011/04/15 06:54:57,2011/04/15 06:54:57,"001 Open login page",344,"Other"
G - Sales dashboard without SalesDistrict,2011/04/15 06:54:57,2011/04/15 06:55:20,"002 Login as 'pt_marketingNO' and wait for dashboard",22720,"Dashboard"
G - Sales dashboard without SalesDistrict,2011/04/15 06:54:57,2011/04/15 06:55:32,"003 Load dashboard 'Sales'",12235,"Dashboard"
G - Sales dashboard without SalesDistrict,2011/04/15 06:54:57,2011/04/15 06:56:17,"004 Dashboard clear drills",9563,"Dashboard"
G - Sales dashboard without SalesDistrict,2011/04/15 06:54:57,2011/04/15 06:56:45,"005 Set field 'Target Currency' to value 'EUR'",20579,"Dashboard"
G - Sales dashboard without SalesDistrict,2011/04/15 06:54:57,2011/04/15 06:57:13,"006 Set field 'Target Unit' to value 'Meter'",20548,"Dashboard"
