TestName,StartTime,TimeStamp,ActionDesc,ActionDuration
J - Create Workbook from Discount Setting UI template,2011/04/15 05:21:24,2011/04/15 05:21:24,"001 Open login page",313,"Other"
J - Create Workbook from Discount Setting UI template,2011/04/15 05:21:24,2011/04/15 05:21:44,"002 Login as 'pt_hq1' and wait for dashboard",19907,"Dashboard"
J - Create Workbook from Discount Setting UI template,2011/04/15 05:21:24,2011/04/15 05:21:49,"003 Navigate in main menu to 'Manage Prices'",4500,"FolderNavigation"
J - Create Workbook from Discount Setting UI template,2011/04/15 05:21:24,2011/04/15 05:21:52,"004 Navigate in folders to 'Discount Setting'",3344,"FolderNavigation"
J - Create Workbook from Discount Setting UI template,2011/04/15 05:21:24,2011/04/15 05:22:01,"005 Click New workbook from template",1938,"Workbook"
J - Create Workbook from Discount Setting UI template,2011/04/15 05:21:24,2011/04/15 05:22:08,"006 Select workbook template 'Template Discount Guideline through UI'",6969,"Workbook"
J - Create Workbook from Discount Setting UI template,2011/04/15 05:21:24,2011/04/15 05:22:16,"007 Set Workbook Name",1453,"Workbook"
J - Create Workbook from Discount Setting UI template,2011/04/15 05:21:24,2011/04/15 05:22:18,"008 Set Workbook Description",1688,"Workbook"
J - Create Workbook from Discount Setting UI template,2011/04/15 05:21:24,2011/04/15 05:22:19,"009 Open Worksheet 'Set Discount Guidelines'",656,"Workbook"
J - Create Workbook from Discount Setting UI template,2011/04/15 05:21:24,2011/04/15 05:22:29,"010 Set Filter 'BU','AS Industrial Automation Systems'",2297,"Workbook"
J - Create Workbook from Discount Setting UI template,2011/04/15 05:21:24,2011/04/15 05:22:37,"011 Set Filter 'Customer Budget Category','>100 - 150T'",438,"Workbook"
J - Create Workbook from Discount Setting UI template,2011/04/15 05:21:24,2011/04/15 05:22:45,"012 Set value in grid '*,*','Approval LVL1 Discount ' to '1.0'",94,"Workbook"
J - Create Workbook from Discount Setting UI template,2011/04/15 05:21:24,2011/04/15 05:22:46,"013 Refresh grid",156,"Workbook"
J - Create Workbook from Discount Setting UI template,2011/04/15 05:21:24,2011/04/15 05:22:57,"014 Set value in grid '*,*','Approval LVL2 Discount ' to '2.0'",78,"Workbook"
