TestName,StartTime,TimeStamp,ActionDesc,ActionDuration
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:41:59,2011/04/15 06:42:00,"001 Open login page",1375,"Other"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:41:59,2011/04/15 06:42:04,"002 Login as 'pt_pricingmanDK' and wait for dashboard",3719,"Dashboard"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:41:59,2011/04/15 06:42:06,"003 Navigate in main menu to 'Manage Prices'",1422,"FolderNavigation"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:41:59,2011/04/15 06:42:07,"004 Navigate in folders to 'Discount Setting'",1531,"FolderNavigation"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:41:59,2011/04/15 06:42:16,"005 Click New workbook from template",1969,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:41:59,2011/04/15 06:42:19,"006 Select workbook template 'Template Discount Guideline through import/export'",3094,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:41:59,2011/04/15 06:42:28,"007 Set Workbook Name",1484,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:41:59,2011/04/15 06:42:29,"008 Set Workbook Description",969,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:41:59,2011/04/15 06:42:30,"009 Open Worksheet 'Set Discount Guidelines'",703,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:41:59,2011/04/15 06:42:37,"010 Set Filter 'BU','AS Industrial Automation Systems'",625,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:41:59,2011/04/15 06:42:55,"011 Set value in grid '*,*','Approval LVL1 Discount ' to '1.0'",78,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:41:59,2011/04/15 06:42:55,"012 Refresh grid",469,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:41:59,2011/04/15 06:43:15,"013 Set value in grid '*,*','Approval LVL2 Discount ' to '2.0'",125,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:41:59,2011/04/15 06:43:15,"014 Refresh grid",422,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:41:59,2011/04/15 06:43:35,"015 Set value in grid '*,*','Max Discount ' to '3.0'",78,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:41:59,2011/04/15 06:43:35,"016 Refresh grid",406,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:41:59,2011/04/15 06:43:55,"017 Set value in grid '*,*','Max Perf Discount w/in Total Discount ' to '4.0'",141,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:41:59,2011/04/15 06:43:56,"018 Refresh grid",422,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:41:59,2011/04/15 06:44:12,"019 Submit workbook",2094,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:41:59,2011/04/15 06:44:27,"020 Expire workbook",1953,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:41:59,2011/04/15 06:44:34,"021 Logout ",516,"Login"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:44:34,2011/04/15 06:44:34,"001 Open login page",188,"Other"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:44:34,2011/04/15 06:44:36,"002 Login as 'pt_pricingmanDK' and wait for dashboard",1781,"Dashboard"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:44:34,2011/04/15 06:44:38,"003 Navigate in main menu to 'Manage Prices'",1219,"FolderNavigation"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:44:34,2011/04/15 06:44:39,"004 Navigate in folders to 'Discount Setting'",1344,"FolderNavigation"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:44:34,2011/04/15 06:44:48,"005 Click New workbook from template",1859,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:44:34,2011/04/15 06:44:50,"006 Select workbook template 'Template Discount Guideline through import/export'",2109,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:44:34,2011/04/15 06:44:58,"007 Set Workbook Name",1547,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:44:34,2011/04/15 06:44:59,"008 Set Workbook Description",1016,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:44:34,2011/04/15 06:45:00,"009 Open Worksheet 'Set Discount Guidelines'",734,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:44:34,2011/04/15 06:45:08,"010 Set Filter 'BU','AS Industrial Automation Systems'",656,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:44:34,2011/04/15 06:45:28,"011 Set value in grid '*,*','Approval LVL1 Discount ' to '1.0'",78,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:44:34,2011/04/15 06:45:28,"012 Refresh grid",453,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:44:34,2011/04/15 06:45:49,"013 Set value in grid '*,*','Approval LVL2 Discount ' to '2.0'",78,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:44:34,2011/04/15 06:45:49,"014 Refresh grid",406,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:44:34,2011/04/15 06:46:11,"015 Set value in grid '*,*','Max Discount ' to '3.0'",78,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:44:34,2011/04/15 06:46:12,"016 Refresh grid",453,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:44:34,2011/04/15 06:46:34,"017 Set value in grid '*,*','Max Perf Discount w/in Total Discount ' to '4.0'",78,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:44:34,2011/04/15 06:46:35,"018 Refresh grid",422,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:44:34,2011/04/15 06:46:51,"019 Submit workbook",2172,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:44:34,2011/04/15 06:47:06,"020 Expire workbook",1938,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:44:34,2011/04/15 06:47:14,"021 Logout ",547,"Login"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:47:14,2011/04/15 06:47:14,"001 Open login page",172,"Other"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:47:14,2011/04/15 06:47:16,"002 Login as 'pt_pricingmanDK' and wait for dashboard",2391,"Dashboard"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:47:14,2011/04/15 06:47:18,"003 Navigate in main menu to 'Manage Prices'",1453,"FolderNavigation"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:47:14,2011/04/15 06:47:19,"004 Navigate in folders to 'Discount Setting'",1719,"FolderNavigation"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:47:14,2011/04/15 06:47:28,"005 Click New workbook from template",1953,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:47:14,2011/04/15 06:47:30,"006 Select workbook template 'Template Discount Guideline through import/export'",2078,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:47:14,2011/04/15 06:47:39,"007 Set Workbook Name",1609,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:47:14,2011/04/15 06:47:40,"008 Set Workbook Description",1125,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:47:14,2011/04/15 06:47:41,"009 Open Worksheet 'Set Discount Guidelines'",891,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:47:14,2011/04/15 06:47:49,"010 Set Filter 'BU','AS Industrial Automation Systems'",609,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:47:14,2011/04/15 06:48:11,"011 Set value in grid '*,*','Approval LVL1 Discount ' to '1.0'",94,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:47:14,2011/04/15 06:48:11,"012 Refresh grid",781,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:47:14,2011/04/15 06:48:48,"013 Set value in grid '*,*','Approval LVL2 Discount ' to '2.0'",125,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:47:14,2011/04/15 06:48:49,"014 Refresh grid",563,"Workbook"
K - Create Workbook from Discount Setting i/e template,2011/04/15 06:47:14,2011/04/15 06:49:12,"015 Set value in grid '*,*','Max Discount ' to '3.0'",94,"Workbook"
