TestName,StartTime,TimeStamp,ActionDesc,ActionDuration
H - Sales dashboard2,2011/04/15 16:00:39,2011/04/15 16:00:40,"001 Open login page",1433,"Other"
H - Sales dashboard2,2011/04/15 16:00:39,2011/04/15 16:00:54,"002 Login as 'pt_salesrepNL' and wait for dashboard",13231,"Dashboard"
H - Sales dashboard2,2011/04/15 16:00:39,2011/04/15 16:01:17,"003 Dashboard clear drills",7621,"Dashboard"
H - Sales dashboard2,2011/04/15 16:00:39,2011/04/15 16:02:35,"004 Set time period in dashboard",41077,"Dashboard"
H - Sales dashboard2,2011/04/15 16:00:39,2011/04/15 16:02:56,"005 Set Top/Bottom Performance Aggregation to: Regional Price Group",13100,"Dashboard"
H - Sales dashboard2,2011/04/15 16:00:39,2011/04/15 16:03:16,"006 Set Top/Bottom Performance Aggregation to: Sold to Customer",13429,"Dashboard"
H - Sales dashboard2,2011/04/15 16:00:39,2011/04/15 16:03:36,"007 Click link 'Show Bottom Performers'",12990,"Dashboard"
H - Sales dashboard2,2011/04/15 16:00:39,2011/04/15 16:03:50,"008 Dashboard drill down by 'Regional Price' '098 IND RESERVED'",7334,"Dashboard"
H - Sales dashboard2,2011/04/15 16:00:39,2011/04/15 16:04:16,"009 Dashboard clear drills",7955,"Dashboard"
H - Sales dashboard2,2011/04/15 16:00:39,2011/04/15 16:04:26,"010 Logout ",2194,"Login"
H - Sales dashboard2,2011/04/15 16:04:26,2011/04/15 16:04:26,"001 Open login page",775,"Other"
H - Sales dashboard2,2011/04/15 16:04:26,2011/04/15 16:04:38,"002 Login as 'pt_salesrepNL' and wait for dashboard",11158,"Dashboard"
H - Sales dashboard2,2011/04/15 16:04:26,2011/04/15 16:05:00,"003 Dashboard clear drills",8282,"Dashboard"
H - Sales dashboard2,2011/04/15 16:04:26,2011/04/15 16:06:20,"004 Set time period in dashboard",42250,"Dashboard"
H - Sales dashboard2,2011/04/15 16:04:26,2011/04/15 16:06:41,"005 Set Top/Bottom Performance Aggregation to: Regional Price Group",13863,"Dashboard"
H - Sales dashboard2,2011/04/15 16:04:26,2011/04/15 16:07:02,"006 Set Top/Bottom Performance Aggregation to: Sold to Customer",14006,"Dashboard"
H - Sales dashboard2,2011/04/15 16:04:26,2011/04/15 16:07:24,"007 Click link 'Show Bottom Performers'",14884,"Dashboard"
H - Sales dashboard2,2011/04/15 16:04:26,2011/04/15 16:07:38,"008 Dashboard drill down by 'Regional Price' '098 IND RESERVED'",7640,"Dashboard"
H - Sales dashboard2,2011/04/15 16:04:26,2011/04/15 16:08:06,"009 Dashboard clear drills",8261,"Dashboard"
H - Sales dashboard2,2011/04/15 16:04:26,2011/04/15 16:08:15,"010 Logout ",2139,"Login"
H - Sales dashboard2,2011/04/15 16:08:15,2011/04/15 16:08:16,"001 Open login page",1022,"Other"
H - Sales dashboard2,2011/04/15 16:08:15,2011/04/15 16:08:28,"002 Login as 'pt_salesrepNL' and wait for dashboard",11425,"Dashboard"
H - Sales dashboard2,2011/04/15 16:08:15,2011/04/15 16:08:51,"003 Dashboard clear drills",9738,"Dashboard"
H - Sales dashboard2,2011/04/15 16:08:15,2011/04/15 16:10:17,"004 Set time period in dashboard",47631,"Dashboard"
H - Sales dashboard2,2011/04/15 16:08:15,2011/04/15 16:10:45,"005 Set Top/Bottom Performance Aggregation to: Regional Price Group",21118,"Dashboard"
H - Sales dashboard2,2011/04/15 16:08:15,2011/04/15 16:11:10,"006 Set Top/Bottom Performance Aggregation to: Sold to Customer",17884,"Dashboard"
H - Sales dashboard2,2011/04/15 16:08:15,2011/04/15 16:11:32,"007 Click link 'Show Bottom Performers'",15232,"Dashboard"
H - Sales dashboard2,2011/04/15 16:08:15,2011/04/15 16:11:54,"008 Dashboard drill down by 'Regional Price' '098 IND RESERVED'",15228,"Dashboard"
H - Sales dashboard2,2011/04/15 16:08:15,2011/04/15 16:12:22,"009 Dashboard clear drills",9039,"Dashboard"
H - Sales dashboard2,2011/04/15 16:08:15,2011/04/15 16:12:32,"010 Logout ",2092,"Login"
H - Sales dashboard2,2011/04/15 16:12:32,2011/04/15 16:12:33,"001 Open login page",1047,"Other"
H - Sales dashboard2,2011/04/15 16:12:32,2011/04/15 16:12:45,"002 Login as 'pt_salesrepNL' and wait for dashboard",12402,"Dashboard"
H - Sales dashboard2,2011/04/15 16:12:32,2011/04/15 16:13:07,"003 Dashboard clear drills",8207,"Dashboard"
H - Sales dashboard2,2011/04/15 16:12:32,2011/04/15 16:14:27,"004 Set time period in dashboard",42062,"Dashboard"
H - Sales dashboard2,2011/04/15 16:12:32,2011/04/15 16:14:48,"005 Set Top/Bottom Performance Aggregation to: Regional Price Group",14032,"Dashboard"
H - Sales dashboard2,2011/04/15 16:12:32,2011/04/15 16:15:08,"006 Set Top/Bottom Performance Aggregation to: Sold to Customer",13469,"Dashboard"
H - Sales dashboard2,2011/04/15 16:12:32,2011/04/15 16:15:30,"007 Click link 'Show Bottom Performers'",14585,"Dashboard"
H - Sales dashboard2,2011/04/15 16:12:32,2011/04/15 16:15:44,"008 Dashboard drill down by 'Regional Price' '098 IND RESERVED'",7637,"Dashboard"
H - Sales dashboard2,2011/04/15 16:12:32,2011/04/15 16:16:11,"009 Dashboard clear drills",8228,"Dashboard"
H - Sales dashboard2,2011/04/15 16:12:32,2011/04/15 16:16:21,"010 Logout ",2354,"Login"
H - Sales dashboard2,2011/04/15 16:16:21,2011/04/15 16:16:22,"001 Open login page",755,"Other"
H - Sales dashboard2,2011/04/15 16:16:21,2011/04/15 16:16:33,"002 Login as 'pt_salesrepNL' and wait for dashboard",11054,"Dashboard"
H - Sales dashboard2,2011/04/15 16:16:21,2011/04/15 16:16:55,"003 Dashboard clear drills",8233,"Dashboard"
H - Sales dashboard2,2011/04/15 16:16:21,2011/04/15 16:18:22,"004 Set time period in dashboard",50060,"Dashboard"
H - Sales dashboard2,2011/04/15 16:16:21,2011/04/15 16:18:43,"005 Set Top/Bottom Performance Aggregation to: Regional Price Group",13998,"Dashboard"
H - Sales dashboard2,2011/04/15 16:16:21,2011/04/15 16:19:04,"006 Set Top/Bottom Performance Aggregation to: Sold to Customer",13991,"Dashboard"
H - Sales dashboard2,2011/04/15 16:16:21,2011/04/15 16:19:25,"007 Click link 'Show Bottom Performers'",13789,"Dashboard"
H - Sales dashboard2,2011/04/15 16:16:21,2011/04/15 16:19:39,"008 Dashboard drill down by 'Regional Price' '098 IND RESERVED'",7676,"Dashboard"
H - Sales dashboard2,2011/04/15 16:16:21,2011/04/15 16:20:08,"009 Dashboard clear drills",9105,"Dashboard"
H - Sales dashboard2,2011/04/15 16:16:21,2011/04/15 16:20:17,"010 Logout ",2147,"Login"
H - Sales dashboard2,2011/04/15 16:20:17,2011/04/15 16:20:18,"001 Open login page",944,"Other"
H - Sales dashboard2,2011/04/15 16:20:17,2011/04/15 16:20:30,"002 Login as 'pt_salesrepNL' and wait for dashboard",12111,"Dashboard"
H - Sales dashboard2,2011/04/15 16:20:17,2011/04/15 16:20:53,"003 Dashboard clear drills",8673,"Dashboard"
H - Sales dashboard2,2011/04/15 16:20:17,2011/04/15 16:22:18,"004 Set time period in dashboard",45266,"Dashboard"
H - Sales dashboard2,2011/04/15 16:20:17,2011/04/15 16:22:39,"005 Set Top/Bottom Performance Aggregation to: Regional Price Group",13586,"Dashboard"
H - Sales dashboard2,2011/04/15 16:20:17,2011/04/15 16:23:00,"006 Set Top/Bottom Performance Aggregation to: Sold to Customer",13953,"Dashboard"
H - Sales dashboard2,2011/04/15 16:20:17,2011/04/15 16:23:20,"007 Click link 'Show Bottom Performers'",13263,"Dashboard"
H - Sales dashboard2,2011/04/15 16:20:17,2011/04/15 16:23:35,"008 Dashboard drill down by 'Regional Price' '098 IND RESERVED'",8242,"Dashboard"
H - Sales dashboard2,2011/04/15 16:20:17,2011/04/15 16:24:04,"009 Dashboard clear drills",8588,"Dashboard"
H - Sales dashboard2,2011/04/15 16:20:17,2011/04/15 16:24:13,"010 Logout ",2069,"Login"
H - Sales dashboard2,2011/04/15 16:24:13,2011/04/15 16:24:13,"001 Open login page",720,"Other"
H - Sales dashboard2,2011/04/15 16:24:13,2011/04/15 16:24:25,"002 Login as 'pt_salesrepNL' and wait for dashboard",11838,"Dashboard"
H - Sales dashboard2,2011/04/15 16:24:13,2011/04/15 16:24:51,"003 Dashboard clear drills",9993,"Dashboard"
H - Sales dashboard2,2011/04/15 16:24:13,2011/04/15 16:26:06,"004 Set time period in dashboard",36096,"Dashboard"
H - Sales dashboard2,2011/04/15 16:24:13,2011/04/15 16:26:27,"005 Set Top/Bottom Performance Aggregation to: Regional Price Group",14134,"Dashboard"
H - Sales dashboard2,2011/04/15 16:24:13,2011/04/15 16:26:47,"006 Set Top/Bottom Performance Aggregation to: Sold to Customer",13249,"Dashboard"
H - Sales dashboard2,2011/04/15 16:24:13,2011/04/15 16:27:08,"007 Click link 'Show Bottom Performers'",14077,"Dashboard"
H - Sales dashboard2,2011/04/15 16:24:13,2011/04/15 16:27:22,"008 Dashboard drill down by 'Regional Price' '098 IND RESERVED'",6937,"Dashboard"
H - Sales dashboard2,2011/04/15 16:24:13,2011/04/15 16:27:50,"009 Dashboard clear drills",8898,"Dashboard"
H - Sales dashboard2,2011/04/15 16:24:13,2011/04/15 16:27:59,"010 Logout ",2018,"Login"
H - Sales dashboard2,2011/04/15 16:27:59,2011/04/15 16:28:00,"001 Open login page",909,"Other"
H - Sales dashboard2,2011/04/15 16:27:59,2011/04/15 16:28:11,"002 Login as 'pt_salesrepNL' and wait for dashboard",11193,"Dashboard"
H - Sales dashboard2,2011/04/15 16:27:59,2011/04/15 16:28:36,"003 Dashboard clear drills",9298,"Dashboard"
H - Sales dashboard2,2011/04/15 16:27:59,2011/04/15 16:30:00,"004 Set time period in dashboard",46401,"Dashboard"
H - Sales dashboard2,2011/04/15 16:27:59,2011/04/15 16:30:21,"005 Set Top/Bottom Performance Aggregation to: Regional Price Group",14051,"Dashboard"
H - Sales dashboard2,2011/04/15 16:27:59,2011/04/15 16:30:42,"006 Set Top/Bottom Performance Aggregation to: Sold to Customer",13727,"Dashboard"
H - Sales dashboard2,2011/04/15 16:27:59,2011/04/15 16:31:03,"007 Click link 'Show Bottom Performers'",13460,"Dashboard"
H - Sales dashboard2,2011/04/15 16:27:59,2011/04/15 16:31:18,"008 Dashboard drill down by 'Regional Price' '098 IND RESERVED'",7882,"Dashboard"
H - Sales dashboard2,2011/04/15 16:27:59,2011/04/15 16:31:45,"009 Dashboard clear drills",8276,"Dashboard"
H - Sales dashboard2,2011/04/15 16:27:59,2011/04/15 16:31:54,"010 Logout ",2157,"Login"
H - Sales dashboard2,2011/04/15 16:31:54,2011/04/15 16:31:56,"001 Open login page",1774,"Other"
H - Sales dashboard2,2011/04/15 16:31:54,2011/04/15 16:32:07,"002 Login as 'pt_salesrepNL' and wait for dashboard",11606,"Dashboard"
H - Sales dashboard2,2011/04/15 16:31:54,2011/04/15 16:32:29,"003 Dashboard clear drills",7794,"Dashboard"
H - Sales dashboard2,2011/04/15 16:31:54,2011/04/15 16:34:01,"004 Set time period in dashboard",51313,"Dashboard"
H - Sales dashboard2,2011/04/15 16:31:54,2011/04/15 16:34:22,"005 Set Top/Bottom Performance Aggregation to: Regional Price Group",14040,"Dashboard"
H - Sales dashboard2,2011/04/15 16:31:54,2011/04/15 16:34:42,"006 Set Top/Bottom Performance Aggregation to: Sold to Customer",12848,"Dashboard"
H - Sales dashboard2,2011/04/15 16:31:54,2011/04/15 16:35:02,"007 Click link 'Show Bottom Performers'",13056,"Dashboard"
H - Sales dashboard2,2011/04/15 16:31:54,2011/04/15 16:35:16,"008 Dashboard drill down by 'Regional Price' '098 IND RESERVED'",7214,"Dashboard"
H - Sales dashboard2,2011/04/15 16:31:54,2011/04/15 16:35:43,"009 Dashboard clear drills",8068,"Dashboard"
H - Sales dashboard2,2011/04/15 16:31:54,2011/04/15 16:35:52,"010 Logout ",2126,"Login"
H - Sales dashboard2,2011/04/15 16:35:52,2011/04/15 16:35:53,"001 Open login page",759,"Other"
H - Sales dashboard2,2011/04/15 16:35:52,2011/04/15 16:36:04,"002 Login as 'pt_salesrepNL' and wait for dashboard",11463,"Dashboard"
H - Sales dashboard2,2011/04/15 16:35:52,2011/04/15 16:36:26,"003 Dashboard clear drills",7615,"Dashboard"
H - Sales dashboard2,2011/04/15 16:35:52,2011/04/15 16:37:47,"004 Set time period in dashboard",44774,"Dashboard"
H - Sales dashboard2,2011/04/15 16:35:52,2011/04/15 16:38:09,"005 Set Top/Bottom Performance Aggregation to: Regional Price Group",14783,"Dashboard"
H - Sales dashboard2,2011/04/15 16:35:52,2011/04/15 16:38:29,"006 Set Top/Bottom Performance Aggregation to: Sold to Customer",13300,"Dashboard"
H - Sales dashboard2,2011/04/15 16:35:52,2011/04/15 16:38:49,"007 Click link 'Show Bottom Performers'",12637,"Dashboard"
H - Sales dashboard2,2011/04/15 16:35:52,2011/04/15 16:39:03,"008 Dashboard drill down by 'Regional Price' '098 IND RESERVED'",7197,"Dashboard"
H - Sales dashboard2,2011/04/15 16:35:52,2011/04/15 16:39:29,"009 Dashboard clear drills",7911,"Dashboard"
H - Sales dashboard2,2011/04/15 16:35:52,2011/04/15 16:39:38,"010 Logout ",1942,"Login"
H - Sales dashboard2,2011/04/15 16:39:38,2011/04/15 16:39:39,"001 Open login page",826,"Other"
H - Sales dashboard2,2011/04/15 16:39:38,2011/04/15 16:39:50,"002 Login as 'pt_salesrepNL' and wait for dashboard",11446,"Dashboard"
H - Sales dashboard2,2011/04/15 16:39:38,2011/04/15 16:40:13,"003 Dashboard clear drills",7978,"Dashboard"
H - Sales dashboard2,2011/04/15 16:39:38,2011/04/15 16:41:36,"004 Set time period in dashboard",47035,"Dashboard"
H - Sales dashboard2,2011/04/15 16:39:38,2011/04/15 16:41:58,"005 Set Top/Bottom Performance Aggregation to: Regional Price Group",14097,"Dashboard"
H - Sales dashboard2,2011/04/15 16:39:38,2011/04/15 16:42:18,"006 Set Top/Bottom Performance Aggregation to: Sold to Customer",13448,"Dashboard"
H - Sales dashboard2,2011/04/15 16:39:38,2011/04/15 16:42:39,"007 Click link 'Show Bottom Performers'",13577,"Dashboard"
H - Sales dashboard2,2011/04/15 16:39:38,2011/04/15 16:46:10,"008 Dashboard drill down by 'Regional Price' '098 IND RESERVED'",204758,"Dashboard"
H - Sales dashboard2,2011/04/15 16:39:38,2011/04/15 16:46:38,"009 Dashboard clear drills",8372,"Dashboard"
H - Sales dashboard2,2011/04/15 16:39:38,2011/04/15 16:46:47,"010 Logout ",2053,"Login"
H - Sales dashboard2,2011/04/15 16:46:47,2011/04/15 16:46:48,"001 Open login page",816,"Other"
H - Sales dashboard2,2011/04/15 16:46:47,2011/04/15 16:46:59,"002 Login as 'pt_salesrepNL' and wait for dashboard",11047,"Dashboard"
H - Sales dashboard2,2011/04/15 16:46:47,2011/04/15 16:47:27,"003 Dashboard clear drills",14325,"Dashboard"
H - Sales dashboard2,2011/04/15 16:46:47,2011/04/15 16:48:51,"004 Set time period in dashboard",42504,"Dashboard"
H - Sales dashboard2,2011/04/15 16:46:47,2011/04/15 16:49:13,"005 Set Top/Bottom Performance Aggregation to: Regional Price Group",15105,"Dashboard"
H - Sales dashboard2,2011/04/15 16:46:47,2011/04/15 16:49:33,"006 Set Top/Bottom Performance Aggregation to: Sold to Customer",13691,"Dashboard"
H - Sales dashboard2,2011/04/15 16:46:47,2011/04/15 16:49:54,"007 Click link 'Show Bottom Performers'",13579,"Dashboard"
H - Sales dashboard2,2011/04/15 16:46:47,2011/04/15 16:50:09,"008 Dashboard drill down by 'Regional Price' '098 IND RESERVED'",8343,"Dashboard"
H - Sales dashboard2,2011/04/15 16:46:47,2011/04/15 16:50:37,"009 Dashboard clear drills",8414,"Dashboard"
H - Sales dashboard2,2011/04/15 16:46:47,2011/04/15 16:50:46,"010 Logout ",2254,"Login"
H - Sales dashboard2,2011/04/15 16:50:46,2011/04/15 16:50:47,"001 Open login page",827,"Other"
H - Sales dashboard2,2011/04/15 16:50:46,2011/04/15 16:50:59,"002 Login as 'pt_salesrepNL' and wait for dashboard",11794,"Dashboard"
H - Sales dashboard2,2011/04/15 16:50:46,2011/04/15 16:51:26,"003 Dashboard clear drills",12061,"Dashboard"
H - Sales dashboard2,2011/04/15 16:50:46,2011/04/15 16:52:52,"004 Set time period in dashboard",46972,"Dashboard"
H - Sales dashboard2,2011/04/15 16:50:46,2011/04/15 16:53:13,"005 Set Top/Bottom Performance Aggregation to: Regional Price Group",14159,"Dashboard"
H - Sales dashboard2,2011/04/15 16:50:46,2011/04/15 16:53:36,"006 Set Top/Bottom Performance Aggregation to: Sold to Customer",15264,"Dashboard"
H - Sales dashboard2,2011/04/15 16:50:46,2011/04/15 16:53:57,"007 Click link 'Show Bottom Performers'",13927,"Dashboard"
H - Sales dashboard2,2011/04/15 16:50:46,2011/04/15 16:54:12,"008 Dashboard drill down by 'Regional Price' '098 IND RESERVED'",7772,"Dashboard"
H - Sales dashboard2,2011/04/15 16:50:46,2011/04/15 16:54:40,"009 Dashboard clear drills",8162,"Dashboard"
H - Sales dashboard2,2011/04/15 16:50:46,2011/04/15 16:54:49,"010 Logout ",1989,"Login"
H - Sales dashboard2,2011/04/15 16:54:49,2011/04/15 16:54:49,"001 Open login page",787,"Other"
H - Sales dashboard2,2011/04/15 16:54:49,2011/04/15 16:55:01,"002 Login as 'pt_salesrepNL' and wait for dashboard",11720,"Dashboard"
H - Sales dashboard2,2011/04/15 16:54:49,2011/04/15 16:55:24,"003 Dashboard clear drills",7918,"Dashboard"
H - Sales dashboard2,2011/04/15 16:54:49,2011/04/15 16:56:42,"004 Set time period in dashboard",39783,"Dashboard"
H - Sales dashboard2,2011/04/15 16:54:49,2011/04/15 16:57:02,"005 Set Top/Bottom Performance Aggregation to: Regional Price Group",13823,"Dashboard"
H - Sales dashboard2,2011/04/15 16:54:49,2011/04/15 16:57:24,"006 Set Top/Bottom Performance Aggregation to: Sold to Customer",14695,"Dashboard"
H - Sales dashboard2,2011/04/15 16:54:49,2011/04/15 16:58:44,"007 Click link 'Show Bottom Performers'",73176,"Dashboard"
H - Sales dashboard2,2011/04/15 16:54:49,2011/04/15 16:59:30,"008 Dashboard drill down by 'Regional Price' '098 IND RESERVED'",38768,"Dashboard"
H - Sales dashboard2,2011/04/15 16:54:49,2011/04/15 17:00:07,"009 Dashboard clear drills",23442,"Dashboard"
H - Sales dashboard2,2011/04/15 16:54:49,2011/04/15 17:00:16,"010 Logout ",1972,"Login"
H - Sales dashboard2,2011/04/15 17:00:16,2011/04/15 17:00:17,"001 Open login page",845,"Other"
H - Sales dashboard2,2011/04/15 17:00:16,2011/04/15 17:00:29,"002 Login as 'pt_salesrepNL' and wait for dashboard",12057,"Dashboard"
H - Sales dashboard2,2011/04/15 17:00:16,2011/04/15 17:00:53,"003 Dashboard clear drills",7933,"Dashboard"
