TestName,StartTime,TimeStamp,ActionDesc,ActionDuration
A - Price Explorer,2011/04/15 06:47:58,2011/04/15 06:47:59,"001 Open login page",391,"Other"
A - Price Explorer,2011/04/15 06:47:58,2011/04/15 06:48:01,"002 Login as 'pt_regadminNL2'",2094,"Login"
A - Price Explorer,2011/04/15 06:47:58,2011/04/15 06:48:15,"003 Navigate in main menu to 'Track and Analyze'",13735,"FolderNavigation"
A - Price Explorer,2011/04/15 06:47:58,2011/04/15 06:48:19,"004 Navigate in folders to 'Price Explorer'",4344,"FolderNavigation"
A - Price Explorer,2011/04/15 06:47:58,2011/04/15 06:48:32,"005 Set field 'Target Unit' to value 'Package'",5797,"Other"
A - Price Explorer,2011/04/15 06:47:58,2011/04/15 06:48:37,"006 Apply changes",5438,"PriceExplorer"
A - Price Explorer,2011/04/15 06:47:58,2011/04/15 06:48:46,"007 Set field 'Target Unit' to value 'Piece'",1547,"Other"
A - Price Explorer,2011/04/15 06:47:58,2011/04/15 06:48:46,"008 Set field 'Y Axis' to value 'Percent'",547,"Other"
A - Price Explorer,2011/04/15 06:47:58,2011/04/15 06:48:49,"009 Apply changes",3203,"PriceExplorer"
A - Price Explorer,2011/04/15 06:47:58,2011/04/15 06:48:59,"010 Select graph type 'Scatter'",3047,"PriceExplorer"
A - Price Explorer,2011/04/15 06:47:58,2011/04/15 06:49:08,"011 Filter by time",3922,"PriceExplorer"
A - Price Explorer,2011/04/15 06:47:58,2011/04/15 06:49:19,"012 Clear filters",250,"PriceExplorer"
A - Price Explorer,2011/04/15 06:47:58,2011/04/15 06:49:27,"013 Logout ",1094,"Login"
A - Price Explorer,2011/04/15 06:49:27,2011/04/15 06:49:27,"001 Open login page",219,"Other"
A - Price Explorer,2011/04/15 06:49:27,2011/04/15 06:49:28,"002 Login as 'pt_regadminNL2'",703,"Login"
A - Price Explorer,2011/04/15 06:49:27,2011/04/15 06:49:40,"003 Navigate in main menu to 'Track and Analyze'",12032,"FolderNavigation"
A - Price Explorer,2011/04/15 06:49:27,2011/04/15 06:49:44,"004 Navigate in folders to 'Price Explorer'",4094,"FolderNavigation"
A - Price Explorer,2011/04/15 06:49:27,2011/04/15 06:49:52,"005 Set field 'Target Unit' to value 'Package'",344,"Other"
A - Price Explorer,2011/04/15 06:49:27,2011/04/15 06:49:55,"006 Apply changes",2969,"PriceExplorer"
A - Price Explorer,2011/04/15 06:49:27,2011/04/15 06:50:02,"007 Set field 'Target Unit' to value 'Piece'",375,"Other"
A - Price Explorer,2011/04/15 06:49:27,2011/04/15 06:50:02,"008 Set field 'Y Axis' to value 'Percent'",453,"Other"
A - Price Explorer,2011/04/15 06:49:27,2011/04/15 06:50:05,"009 Apply changes",2844,"PriceExplorer"
A - Price Explorer,2011/04/15 06:49:27,2011/04/15 06:50:15,"010 Select graph type 'Scatter'",2797,"PriceExplorer"
A - Price Explorer,2011/04/15 06:49:27,2011/04/15 06:50:23,"011 Filter by time",3844,"PriceExplorer"
A - Price Explorer,2011/04/15 06:49:27,2011/04/15 06:50:34,"012 Clear filters",375,"PriceExplorer"
A - Price Explorer,2011/04/15 06:49:27,2011/04/15 06:50:42,"013 Logout ",828,"Login"
A - Price Explorer,2011/04/15 06:50:42,2011/04/15 06:50:42,"001 Open login page",188,"Other"
A - Price Explorer,2011/04/15 06:50:42,2011/04/15 06:50:43,"002 Login as 'pt_regadminNL2'",594,"Login"
A - Price Explorer,2011/04/15 06:50:42,2011/04/15 06:50:54,"003 Navigate in main menu to 'Track and Analyze'",10610,"FolderNavigation"
A - Price Explorer,2011/04/15 06:50:42,2011/04/15 06:51:00,"004 Navigate in folders to 'Price Explorer'",5985,"FolderNavigation"
A - Price Explorer,2011/04/15 06:50:42,2011/04/15 06:51:07,"005 Set field 'Target Unit' to value 'Package'",391,"Other"
A - Price Explorer,2011/04/15 06:50:42,2011/04/15 06:51:11,"006 Apply changes",3828,"PriceExplorer"
A - Price Explorer,2011/04/15 06:50:42,2011/04/15 06:51:18,"007 Set field 'Target Unit' to value 'Piece'",406,"Other"
A - Price Explorer,2011/04/15 06:50:42,2011/04/15 06:51:19,"008 Set field 'Y Axis' to value 'Percent'",547,"Other"
A - Price Explorer,2011/04/15 06:50:42,2011/04/15 06:51:22,"009 Apply changes",2969,"PriceExplorer"
A - Price Explorer,2011/04/15 06:50:42,2011/04/15 06:51:33,"010 Select graph type 'Scatter'",4078,"PriceExplorer"
A - Price Explorer,2011/04/15 06:50:42,2011/04/15 06:51:43,"011 Filter by time",4469,"PriceExplorer"
A - Price Explorer,2011/04/15 06:50:42,2011/04/15 06:51:55,"012 Clear filters",297,"PriceExplorer"
A - Price Explorer,2011/04/15 06:50:42,2011/04/15 06:52:03,"013 Logout ",1156,"Login"
A - Price Explorer,2011/04/15 06:52:03,2011/04/15 06:52:03,"001 Open login page",266,"Other"
A - Price Explorer,2011/04/15 06:52:03,2011/04/15 06:52:04,"002 Login as 'pt_regadminNL2'",766,"Login"
A - Price Explorer,2011/04/15 06:52:03,2011/04/15 06:52:18,"003 Navigate in main menu to 'Track and Analyze'",14141,"FolderNavigation"
A - Price Explorer,2011/04/15 06:52:03,2011/04/15 06:52:23,"004 Navigate in folders to 'Price Explorer'",4688,"FolderNavigation"
A - Price Explorer,2011/04/15 06:52:03,2011/04/15 06:52:30,"005 Set field 'Target Unit' to value 'Package'",422,"Other"
A - Price Explorer,2011/04/15 06:52:03,2011/04/15 06:52:34,"006 Apply changes",3813,"PriceExplorer"
A - Price Explorer,2011/04/15 06:52:03,2011/04/15 06:52:42,"007 Set field 'Target Unit' to value 'Piece'",375,"Other"
A - Price Explorer,2011/04/15 06:52:03,2011/04/15 06:52:42,"008 Set field 'Y Axis' to value 'Percent'",516,"Other"
A - Price Explorer,2011/04/15 06:52:03,2011/04/15 06:52:46,"009 Apply changes",3438,"PriceExplorer"
A - Price Explorer,2011/04/15 06:52:03,2011/04/15 06:52:56,"010 Select graph type 'Scatter'",3235,"PriceExplorer"
A - Price Explorer,2011/04/15 06:52:03,2011/04/15 06:53:04,"011 Filter by time",3875,"PriceExplorer"
A - Price Explorer,2011/04/15 06:52:03,2011/04/15 06:53:16,"012 Clear filters",250,"PriceExplorer"
A - Price Explorer,2011/04/15 06:52:03,2011/04/15 06:53:24,"013 Logout ",891,"Login"
A - Price Explorer,2011/04/15 06:53:24,2011/04/15 06:53:24,"001 Open login page",203,"Other"
A - Price Explorer,2011/04/15 06:53:24,2011/04/15 06:53:24,"002 Login as 'pt_regadminNL2'",500,"Login"
