TestName,StartTime,TimeStamp,ActionDesc,ActionDuration
C - Revenue Causality dashboard without SalesDistrict,2011/04/15 05:09:22,2011/04/15 05:09:23,"001 Open login page",516,"Other"
C - Revenue Causality dashboard without SalesDistrict,2011/04/15 05:09:22,2011/04/15 05:09:44,"002 Login as 'pt_marketingFI' and wait for dashboard",20532,"Dashboard"
C - Revenue Causality dashboard without SalesDistrict,2011/04/15 05:09:22,2011/04/15 05:10:01,"003 Load dashboard 'Revenue Causality'",17688,"Dashboard"
C - Revenue Causality dashboard without SalesDistrict,2011/04/15 05:09:22,2011/04/15 05:10:40,"004 Dashboard clear drills",13438,"Dashboard"
C - Revenue Causality dashboard without SalesDistrict,2011/04/15 05:09:22,2011/04/15 05:11:22,"005 Set time period in dashboard",2578,"Dashboard"
C - Revenue Causality dashboard without SalesDistrict,2011/04/15 05:09:22,2011/04/15 05:12:19,"006 Set field 'Target Currency' to value 'DKK'",49221,"Dashboard"
C - Revenue Causality dashboard without SalesDistrict,2011/04/15 06:48:25,2011/04/15 06:48:25,"001 Open login page",391,"Other"
C - Revenue Causality dashboard without SalesDistrict,2011/04/15 06:48:25,2011/04/15 06:48:44,"002 Login as 'pt_marketingFI' and wait for dashboard",18235,"Dashboard"
C - Revenue Causality dashboard without SalesDistrict,2011/04/15 06:48:25,2011/04/15 06:48:57,"003 Load dashboard 'Revenue Causality'",13907,"Dashboard"
C - Revenue Causality dashboard without SalesDistrict,2011/04/15 06:48:25,2011/04/15 06:49:33,"004 Dashboard clear drills",10281,"Dashboard"
C - Revenue Causality dashboard without SalesDistrict,2011/04/15 06:48:25,2011/04/15 06:50:15,"005 Set time period in dashboard",3438,"Dashboard"
C - Revenue Causality dashboard without SalesDistrict,2011/04/15 06:48:25,2011/04/15 06:51:10,"006 Set field 'Target Currency' to value 'DKK'",45642,"Dashboard"
C - Revenue Causality dashboard without SalesDistrict,2011/04/15 06:48:25,2011/04/15 06:51:36,"007 Set field 'Target Unit' to value 'Meter'",19407,"Dashboard"
C - Revenue Causality dashboard without SalesDistrict,2011/04/15 06:48:25,2011/04/15 06:52:05,"008 Set field 'Target Unit' to value 'Piece'",21204,"Dashboard"
C - Revenue Causality dashboard without SalesDistrict,2011/04/15 06:48:25,2011/04/15 06:52:49,"009 Dashboard drill down by 'Sales' 'Sales Finland'",37236,"Dashboard"
C - Revenue Causality dashboard without SalesDistrict,2011/04/15 06:48:25,2011/04/15 06:53:08,"010 Dashboard drill down by 'Sales' 'Area Sales EE'",11438,"Dashboard"
